Chain,Location Number,Location ID,State/ Province,Latitude,Longitude
Best Buy,101,Best Buy0101,CA,33.590983,-117.672732
Best Buy,102,Best Buy0102,CA,34.071261,-117.930864
Best Buy,103,Best Buy0103,CA,33.997453,-117.922631
Best Buy,104,Best Buy0104,CA,33.897409,-118.365546
Best Buy,105,Best Buy0105,CA,34.10749,-117.537874
Best Buy,106,Best Buy0106,CA,34.597692,-118.145468
Best Buy,107,Best Buy0107,CA,33.805627,-118.349464
Best Buy,108,Best Buy0108,CA,34.4712869,-117.351024
Best Buy,109,Best Buy0109,CA,34.035654,-118.439759
Best Buy,110,Best Buy0110,CA,33.914286,-117.464887
Best Buy,111,Best Buy0111,CA,33.74861,-118.014576
Best Buy,112,Best Buy0112,CA,34.182322,-118.874492
Best Buy,113,Best Buy0113,CA,34.428825,-118.537767
Best Buy,114,Best Buy0114,CA,33.916473,-117.931743
Best Buy,115,Best Buy0115,CA,33.557707,-117.199336
Best Buy,116,Best Buy0116,CA,34.188692,-118.600574
Best Buy,117,Best Buy0117,CA,33.868898,-118.056004
Best Buy,118,Best Buy0118,CA,34.223255,-119.157337
Best Buy,119,Best Buy0119,CA,33.688465,-117.892933
Best Buy,120,Best Buy0120,CA,38.419523,-122.7094271
Best Buy,121,Best Buy0121,CA,36.846088,-119.78623
Best Buy,124,Best Buy0124,CA,33.72673,-116.40418
Best Buy,125,Best Buy0125,CA,34.15127,-118.080128
Best Buy,126,Best Buy0126,CA,33.87333,-117.736349
Best Buy,127,Best Buy0127,CA,33.851291,-118.134068
Best Buy,129,Best Buy0129,CA,38.773228,-121.26063
Best Buy,130,Best Buy0130,CA,34.277095,-118.568844
Best Buy,131,Best Buy0131,CA,34.0914688,-117.6916046
Best Buy,133,Best Buy0133,CA,38.598799,-121.421096
Best Buy,134,Best Buy0134,CA,37.703891,-121.882479
Best Buy,135,Best Buy0135,CA,37.934873,-122.059168
Best Buy,136,Best Buy0136,CA,38.260781,-122.056134
Best Buy,137,Best Buy0137,CA,34.18861,-118.327789
Best Buy,138,Best Buy0138,CA,37.990481,-122.307358
Best Buy,140,Best Buy0140,CA,37.502374,-122.244326
Best Buy,141,Best Buy0141,CA,37.694757,-121.064952
Best Buy,142,Best Buy0142,CA,37.427922,-121.923147
Best Buy,144,Best Buy0144,CA,37.600988,-122.063834
Best Buy,150,Best Buy0150,CA,34.066775,-117.267029
Best Buy,179,Best Buy0179,CA,34.01579,-118.40714
Best Buy,183,Best Buy0183,CA,34.12775,-118.265366
Best Buy,184,Best Buy0184,CA,32.806289,-116.963152
Best Buy,187,Best Buy0187,CA,37.769001,-122.412849
Best Buy,188,Best Buy0188,CA,32.65125,-117.095244
Best Buy,190,Best Buy0190,CA,37.256521,-121.877054
Best Buy,191,Best Buy0191,CA,39.726824,-121.800456
Best Buy,192,Best Buy0192,CA,34.917591,-120.419454
Verizon Wireless,1,Verizon Wireless00001,CA,33.668407,-117.768806
Verizon Wireless,594,Verizon Wireless00594,CA,37.323437,-122.035339
Verizon Wireless,596,Verizon Wireless00596,CA,37.69801,-121.77155
Verizon Wireless,597,Verizon Wireless00597,CA,37.419633,-122.093448
Verizon Wireless,598,Verizon Wireless00598,CA,37.70022,-121.907985
