Chain,Location Number,Location ID,Address,City,State/ Province,Postal Code,Latitude,Longitude,Phone,Tier
Best Buy,0000,Best Buy0000,2279 Romig Rd,Akron,OH,44320,41.0528900,-81.5793769,3306651660,A
Best Buy,0004,Best Buy0004,13513 Ridgedale Dr,Minnetonka,MN,55305,44.9706769,-93.4497706,9525440377,A
Best Buy,0007,Best Buy0007,1647 W Cnty Rd B2,Roseville,MN,55113,45.0161670,-93.1677590,6517460538,A
Best Buy,0008,Best Buy0008,14141 Aldrich Ave S,Burnsville,MN,55337,44.7474895,-93.2878894,9524359379,A
Best Buy,0010,Best Buy0010,1885 County Rd D E,Maplewood,MN,55109,45.0357980,-93.0255140,6517041901,A
Best Buy,0011,Best Buy0011,300 Northtown Dr NE,Blaine,MN,55432,45.1261080,-93.2616990,7637808668,A
Best Buy,0012,Best Buy0012,4130 W Division St,St Cloud,MN,56301,45.5532820,-94.2097610,3202595208,A
Best Buy,0013,Best Buy0013,"3902 13th Ave S, Suite 600",Fargo,ND,58103,46.8594500,-96.8459900,7012771250,A
Best Buy,0014,Best Buy0014,4050 Hwy 52 N,Rochester,MN,55901,44.0655830,-92.5001170,5072815855,A
Best Buy,0015,Best Buy0015,8301 3rd St North,Oakdale,MN,55128,44.9498000,-92.9375200,6517391899,A
Best Buy,0016,Best Buy0016,4100 University Ave # 240,West Des Moines,IA,50265,41.5980400,-93.7612300,5152210669,A
Best Buy,0017,Best Buy0017,2101 W 41st St,Sioux Falls,SD,57105,43.5131800,-96.7540300,6053340003,A
Best Buy,0018,Best Buy0018,9420 Hwy 16 E,Onalaska,WI,54650,43.8759170,-91.1914810,6087830100,A
Best Buy,0020,Best Buy0020,4650 1st Ave NE,Cedar Rapids,IA,52402,42.0258640,-91.6230770,3192941030,A
Best Buy,0021,Best Buy0021,1431 Coral Ridge Ave,Coralville,IA,52241,41.6914000,-91.5978700,3196252900,A
Best Buy,0022,Best Buy0022,5153 Elmore Ave,Davenport,IA,52807,41.5713260,-90.5261960,5633865777,A
Best Buy,0025,Best Buy0025,4610 S 76th St,Greenfield,WI,53220,42.9596390,-88.0081340,4142813434,A
Best Buy,0026,Best Buy0026,2401 N Mayfair Rd,Wauwatosa,WI,53226,43.0631190,-88.0479640,4142579516,A
Best Buy,0027,Best Buy0027,4240 W Wisconsin Ave,Appleton,WI,54913,44.2752430,-88.4707800,9207398319,A
Best Buy,0028,Best Buy0028,825 Pilgrim Way Ste A,Green Bay,WI,54304,44.4815070,-88.0693380,9204942950,A
Best Buy,0029,Best Buy0029,2710 S Green Bay Rd,Racine,WI,53404,42.7001550,-87.8555930,2625510074,A
Best Buy,0030,Best Buy0030,7017 S Lindbergh Blvd,St Louis,MO,63125,38.5095900,-90.3304210,3144874999,A
Best Buy,0031,Best Buy0031,26 Plaza Dr,Fairview Hts,IL,62208,38.5975940,-89.9867390,6183988190,A
Best Buy,0032,Best Buy0032,5651 S Service Rd,St Peters,MO,63376,38.7986080,-90.6203020,6362784410,A
Best Buy,0034,Best Buy0034,12410 St Charles Rock Rd,Bridgeton,MO,63044,38.7550900,-90.4306160,3147390888,A
Best Buy,0036,Best Buy0036,19110 E 39th St S,Independence,MO,64057,39.0478350,-94.3524080,8167959162,A
Best Buy,0039,Best Buy0039,9301 Quivira Rd,Shawnee Mission,KS,66215,38.9601620,-94.7236270,9138940055,A
Best Buy,0040,Best Buy0040,4090 Commonwealth Ave,Eau Claire,WI,54701,44.7737600,-91.4323100,7158330666,A
Best Buy,0043,Best Buy0043,5105 Burning Tree Rd,Duluth,MN,55811,46.8077020,-92.1691770,2187228767,A
Best Buy,0044,Best Buy0044,19555 W Bluemound Rd,Brookfield,WI,53045,43.0359800,-88.1546030,2627960669,A
Best Buy,0045,Best Buy0045,281 Deane Dr,Rockford,IL,61107,42.2713310,-88.9827150,8153958405,A
Best Buy,0046,Best Buy0046,2117 N Prospect Ave,Champaign,IL,61822,40.1419700,-88.2579280,2173528883,A
Best Buy,0047,Best Buy0047,3193 S Veterans Pkwy,Springfield,IL,62704,39.7555190,-89.7064070,2176988551,A
Best Buy,0048,Best Buy0048,1600 SW Wanamaker Rd,Topeka,KS,66604,39.0411490,-95.7617500,7852720502,A
Best Buy,0049,Best Buy0049,2103 N Veterans Pkwy,Bloomington,IL,61704,40.5076660,-88.9513600,3096638090,A
Best Buy,0050,Best Buy0050,6919 O Street,Lincoln,NE,68510,40.8124990,-96.6259820,4024641820,A
Best Buy,0051,Best Buy0051,2111 N Rock Rd #121,Wichita,KS,67206,37.7210180,-97.2462130,3166845026,A
Best Buy,0052,Best Buy0052,3450 S Glenstone Ave,Springfield,MO,65804,37.1509760,-93.2609160,4178865118,A
Best Buy,0054,Best Buy0054,2701 N MESQUITE Blvd,Mesquite,TX,75150,32.8022524,-96.6296543,9726813180,A
Best Buy,0055,Best Buy0055,869 NE Mall Blvd,Hurst,TX,76053,32.8272151,-97.2030088,8177882213,A
Best Buy,0056,Best Buy0056,731 North Highway 67,Cedar Hill,TX,75104,32.6008400,-96.9353610,4692725475,A
Best Buy,0057,Best Buy0057,1730 Pleasant Pl,Arlington,TX,76015,32.6769790,-97.1377550,8174673155,A
Best Buy,0058,Best Buy0058,9378 N Central Expy # 100,Dallas,TX,75231,32.8754464,-96.7681545,2146962089,A
Best Buy,0059,Best Buy0059,2452 E Springs Dr,Madison,WI,53704,43.1309760,-89.2967450,6082420701,A
Best Buy,0101,Best Buy0101,25422 El Paseo,Mission Viejo,CA,92691,33.5909830,-117.6727320,9493670729,A
Best Buy,0102,Best Buy0102,1800 Plaza Dr,W Covina,CA,91790,34.0712610,-117.9308640,6264805399,A
Best Buy,0103,Best Buy0103,17545 Gale Ave,City of Industry,CA,91748,33.9974530,-117.9226310,6268101788,A
Best Buy,0104,Best Buy0104,5000 W 147th St,Hawthorne,CA,90250,33.8974090,-118.3655460,3106449312,A
Best Buy,0105,Best Buy0105,12260 Foothill Blvd,Rancho Cucamonga,CA,91739,34.1074900,-117.5378740,9098035766,A
Best Buy,0106,Best Buy0106,39330 10th St,W Palmdale,CA,93551,34.5976920,-118.1454680,6612747991,A
Best Buy,0107,Best Buy0107,3675 Pacific Coast Hwy,Torrance,CA,90505,33.8056270,-118.3494640,3107911186,A
Best Buy,0108,Best Buy0108,12133 Mall Blvd,Victorville,CA,92392,34.4712869,-117.3510240,7602615741,A
Best Buy,0109,Best Buy0109,11301 W Pico Blvd,Los Angeles,CA,90064,34.0356540,-118.4397590,3102689190,A
Best Buy,0110,Best Buy0110,3900 Tyler St,Riverside,CA,92503,33.9142860,-117.4648870,9513438960,A
Best Buy,0111,Best Buy0111,500 Westminster Mall Rd,Westminster,CA,92683,33.7486100,-118.0145760,7148969693,A
Best Buy,0112,Best Buy0112,390 N Moorpark Rd,Thousand Oaks,CA,91360,34.1823220,-118.8744920,8054948370,A
Best Buy,0113,Best Buy0113,26531 Bouquet Canyon Rd,Santa Clarita,CA,91350,34.4288250,-118.5377670,6612971247,A
Best Buy,0114,Best Buy0114,120 Imperial Hwy,Fullerton,CA,92835,33.9164730,-117.9317430,7148713281,A
Best Buy,0115,Best Buy0115,25080 Madison Ave,Murrieta,CA,92562,33.5577070,-117.1993360,9516962001,A
Best Buy,0116,Best Buy0116,21601 Victory Blvd,Canoga Park,CA,91303,34.1886920,-118.6005740,8187131007,A
Best Buy,0117,Best Buy0117,12989 Park Plaza Dr,Cerritos,CA,90703,33.8688980,-118.0560040,5624021555,A
Best Buy,0118,Best Buy0118,2300 N Rose Ave,Oxnard,CA,93030,34.2232550,-119.1573370,8052789555,A
Best Buy,0119,Best Buy0119,901 S Coast Dr Ste F,Costa Mesa,CA,92626,33.6884650,-117.8929330,7144340132,A
Best Buy,0120,Best Buy0120,1950 Santa Rosa Ave,Santa Rosa,CA,95407,38.4195230,-122.7094271,7075451078,A
Best Buy,0121,Best Buy0121,7550 N Blackstone Ave,Fresno,CA,93720,36.8460880,-119.7862300,5594460195,A
Best Buy,0122,Best Buy0122,2050 N Rainbow Blvd,Las Vegas,NV,89108,36.1964630,-115.2389280,7026314645,A
Best Buy,0123,Best Buy0123,575 E Wetmore Rd,Tucson,AZ,85705,32.2867300,-110.9629000,5206963442,A
Best Buy,0124,Best Buy0124,72369 Hwy 111,Palm Desert,CA,92260,33.7267300,-116.4041800,7607761068,A
Best Buy,0125,Best Buy0125,3415 E Foothill Blvd,Pasadena,CA,91107,34.1512700,-118.0801280,6263519516,A
Best Buy,0126,Best Buy0126,23000 Savi Ranch Pkwy,Yorba Linda,CA,92887,33.8733300,-117.7363490,7146853235,A
Best Buy,0127,Best Buy0127,5101 Clark Ave,Lakewood,CA,90712,33.8512910,-118.1340680,5625296500,A
Best Buy,0128,Best Buy0128,5575 S VIRGINIA,Reno,NV,89502,39.4744490,-119.7880750,7754489797,A
Best Buy,0129,Best Buy0129,1236 GALLERIA Blvd,Roseville,CA,95678,38.7732280,-121.2606300,9167805969,A
Best Buy,0130,Best Buy0130,19929 Rinaldi St,Northridge,CA,91324,34.2770950,-118.5688440,8183639304,A
Best Buy,0131,Best Buy0131,8960 Central Ave,Montclair,CA,91763,34.0914688,-117.6916046,9096217156,A
Best Buy,0133,Best Buy0133,1901 ARDEN WAY,Sacramento,CA,95815,38.5987990,-121.4210960,9169251212,A
Best Buy,0134,Best Buy0134,4820 DUBLIN Blvd,Dublin,CA,94568,37.7038910,-121.8824790,9258297041,A
Best Buy,0135,Best Buy0135,3260 BUSKIRK AVE,Pleasant Hill,CA,94523,37.9348730,-122.0591680,9259880256,A
Best Buy,0136,Best Buy0136,1547 GATEWAY Blvd,Fairfield,CA,94533,38.2607810,-122.0561340,7074321330,A
Best Buy,0137,Best Buy0137,1501 N VICTORY PL,Burbank,CA,91504,34.1886100,-118.3277890,8188455121,A
Best Buy,0138,Best Buy0138,1490 FITZGERALD RD,Pinole,CA,94564,37.9904810,-122.3073580,5107580112,A
Best Buy,0140,Best Buy0140,1127 INDUSTRIAL RD,San Carlos,CA,94070,37.5023740,-122.2443260,6506220050,A
Best Buy,0141,Best Buy0141,3900 SISK RD,Modesto,CA,95356,37.6947570,-121.0649520,2095430117,A
Best Buy,0142,Best Buy0142,63 RANCH AVE,Milpitas,CA,95035,37.4279220,-121.9231470,4089420201,A
Best Buy,0143,Best Buy0143,178 THF Blvd,Chesterfield,MO,63005,38.6663390,-90.5968570,6365362303,A
Best Buy,0144,Best Buy0144,31350 COURTHOUSE DR,Union City,CA,94587,37.6009880,-122.0638340,5104412130,A
Best Buy,0145,Best Buy0145,701 Hebron Rd,Heath,OH,43056,40.0330600,-82.4354980,7405226606,A
Best Buy,0146,Best Buy0146,45575 Dulles Eastern Plz #188,Sterling,VA,20165,39.0232260,-77.4226020,7034302150,A
