Name,Latitude,Longitude,Address,City,State/ Province,Postal Code,Store Phone,ClusterAssigned,Tier
Verizon Wireless00610,47.714893,-117.411636,6227 N Division St,Spokane,WA,99208,5094895461,1,A
Best Buy0355,47.672626,-117.200427,15223 E INDIANA AVE,Spokane,WA,99216,5099244361,1,B
Best Buy0362,47.748485,-117.402843,9970 N NEWPORT Hwy,Spokane,WA,99218,5094679656,1,B
Best Buy0590,46.226728,-119.214323,6809 W CANAL DR,Kennewick,WA,99336,5097370441,1,B
Best Buy0655,47.737687,-116.794117,425 W WILBUR AVE,Coeur d  Alene,ID,83815,2087729245,1,B
Go Wireless0195,47.65679,-117.21777,13908 E. Sprague Ave,Spokane,WA,99216,,1,B
Home Depot1803,47.71539,-116.789907,220 W Kathleen Ave,Coeur d'Alene,ID,83815,2086761441,1,B
Home Depot1808,46.416551,-117.017657,2425 THAIN GRADE,LEWISTON,ID,83501,2087435097,1,B
Home Depot1810,48.309269,-116.540716,500 KOOTENAI CUT-OFF RD,PONDERAY,ID,83852,2082632373,1,B
Best Buy0593,46.88973,-114.037355,2640 N Reserve St,Missoula,MT,59802,4068290409,1,B
Best Buy1016,48.237583,-114.330472,2407 Hwy 93 N,Kalispell,MT,59901,4067521300,1,B
Verizon Wireless00690,48.236923,-114.329376,2385 Us Highway 93 N Ste 6,Kalispell,MT,59901,4067524422,1,B
Verizon Wireless00697,46.84406,-114.025036,2901 Brooks St,Missoula,MT,59801,4068291523,1,B
Best Buy0030,38.50959,-90.330421,7017 S Lindbergh Blvd,St Louis,MO,63125,3144874999,2,A
Best Buy0031,38.597594,-89.986739,26 Plaza Dr,Fairview Hts,IL,62208,6183988190,2,A
Best Buy0032,38.798608,-90.620302,5651 S Service Rd,St Peters,MO,63376,6362784410,2,A
Best Buy0034,38.75509,-90.430616,12410 St Charles Rock Rd,Bridgeton,MO,63044,3147390888,2,A
Best Buy0047,39.755519,-89.706407,3193 S Veterans Pkwy,Springfield,IL,62704,2176988551,2,A
Best Buy0143,38.666339,-90.596857,178 THF Blvd,Chesterfield,MO,63005,6365362303,2,A
Best Buy0602,38.960949,-92.368978,2001 W Worley St Ste 140,Columbia,MO,65203,5734473044,2,B
Best Buy0606,39.915429,-88.954688,1450 Koester Dr,Forsyth,IL,62535,2178752418,2,B
Best Buy0833,38.629152,-90.337524,8300 EAGER RD,St Louis,MO,63144,3146461331,2,B
Best Buy0942,38.512139,-90.447429,717 Gravois Rd,Fenton,MO,63026,6363262719,2,B
Best Buy1102,38.581974,-92.217011,3225 Missouri Blvd,Jefferson City,MO,65109,5738938410,2,B
Home Depot1851,38.517441,-90.022293,5501 Belleville Crossing,Belleville,IL,62226,6182393351,2,B
Home Depot1915,39.9328,-91.3277,5432 Broadway St,Quincy,IL,62301,2172282475,2,B
Home Depot1924,38.592796,-89.957888,1706 W US Hwy 50,O'Fallon,IL,62269,6186329626,2,B
Home Depot1973,38.781383,-89.951342,2500 TROY ROAD,EDWARDSVILLE,IL,62025,6186593682,2,B
Verizon Wireless01247,39.750997,-89.707858,3424 Freedom Dr,Springfield,IL,62704,2177262250,2,B
Verizon Wireless01285,38.671329,-90.435207,11493 Olive Blvd,Creve Coeur,MO,63141,3149934300,2,B
Verizon Wireless01290,38.503899,-90.444611,160A Gravois Bluffs Cir,Fenton,MO,63026,6363266700,2,B
TCC19279,38.609842,-90.289734,2807 SULPHUR AVE,ST Louis,MO,63139,3146453560,2,B
TCC19408,38.486118,-90.30422,4328 TELEGRAPH RD,Mehlville,MO,63129,3148920880,2,B
TCC19457,38.584027,-90.276354,4948 CHRISTY BLVD,ST Louis,MO,63116,3144813290,2,B
TCC19459,38.681475,-90.477678,12915 OLIVE BLVD,Creve Coeur,MO,63141,3142758900,2,B
TCC19470,38.699447,-90.463328,12545 BENNINGTON PL,ST Louis,MO,63146,3148788057,2,B
TCC19503,38.750852,-90.249445,2306 CHAMBERS RD,Moline Acres,MO,63136,3148675462,2,B
TCC19507,38.574638,-90.419783,639 WEST WOODBINE AVE,Kirkwood,MO,63122,3148212251,2,B
TCC19522,38.60295,-90.44089,1193 COLONNADE CENTER,Des Peres,MO,63131,3148215715,2,B
TCC19551,38.723911,-90.272515,7455 W FLORISSANT,Country Club Hills,MO,63136,3143898020,2,B
TCC19889,38.572257,-90.256938,3160 MORGANFORD RD,ST Louis,MO,63116,3146648166,2,B
TCC19981,38.533516,-90.275849,260 HOFFMEISTER,Lemay,MO,63125,3146312866,2,B
TCC20020,38.618177,-90.321896,2425 SOUTH BIG BEND BLVD,ST Louis,MO,63143,3146451137,2,B
TCC20200,38.410206,-90.389791,3695 WEST OUTER RD,Arnold,MO,63010,6362969391,2,B
TCC20206,38.727741,-90.357455,4300 WOODSON RD,Woodson Terrace,MO,63134,3144271440,2,B
TCC20278,38.701513,-90.15515,1151 NIEDRINGHAUS,Granite City,IL,62040,6188763151,2,B
Wireless Zone30285,38.591922,-90.282602,5350 CHIPPEWA,ST Louis,MO,63109,3144815753,2,B
Best Buy0128,39.474449,-119.788075,5575 S VIRGINIA,Reno,NV,89502,7754489797,3,A
A Wireless0068,38.918003,-119.996666,2230 Lake Tahoe Blvd,Bijou,CA,96150,5305419500,3,B
Best Buy0850,39.107168,-119.777228,911 TOPSY LN,Carson City,NV,89705,7752673523,3,B
Best Buy1014,39.583099,-119.740164,155 Los Altos Pkwy,Sparks,NV,89436,7756268080,3,B
Verizon Wireless00824,39.478298,-119.787376,5000 Smithridge Dr,Reno,NV,89502,7758291848,3,B
Verizon Wireless00348,27.179906,-80.238921,2040 SE Federal Hwy,Stuart,FL,34994,7722202868,4,A
Best Buy0512,28.081705,-80.653942,1900 Evans Rd,Melbourne,FL,32904,3217686840,4,B
Best Buy0816,27.639161,-80.454184,6156 20th St,Vero Beach,FL,32966,7727780679,4,B
Best Buy0881,27.235849,-80.26725,2555 NW Federal Hwy,Stuart,FL,34994,7726927188,4,B
Home Depot0213,27.633296,-80.446971,1885 58th Ave,Vero Beach,FL,32966,5617940566,4,B
Home Depot0221,27.242328,-80.271912,3451 NW Federal Hwy,Jensen Beach,FL,34957,5616929000,4,B
Home Depot0260,28.077194,-80.667468,2829 W New Haven Ave,W Melbourne,FL,32904,4077281900,4,B
Home Depot0274,26.932736,-80.123572,1694 W Indiantown Rd,Jupiter,FL,33458,5617476561,4,B
Home Depot0283,27.419927,-80.385821,5880 Okeechobee Rd,Ft Pierce,FL,34947,5614893688,4,B
Cell of Knoxville10115,28.089454,-80.575022,448 FIFTH AVE,Indialantic,FL,32903,3217253931,4,B
Cell of Knoxville10126,28.063842,-80.621474,3018 S BABCOCK ST,Melbourne,FL,32901,3217230404,4,B
Cell of Knoxville10379,27.565433,-80.377103,210 HIGHLAND DR SW,Vero Beach,FL,32962,7725692305,4,B
Cell of Knoxville10386,27.637968,-80.430145,1976 43AVE,Vero Beach,FL,32960,7725622046,4,B
Cell of Knoxville10389,27.410851,-80.333676,3110 OLEANDER BLVD,FT Pierce,FL,34982,7724642479,4,B
TCC19605,27.812647,-80.425044,5050 NORTH A1A,Indian River Shores,FL,32963,7722319228,4,B
Wireless Zone32103,28.035243,-80.672157,5000 MINTON RD NW,Palm Bay,FL,32907,3217299303,4,B
Best Buy0058,32.8754464,-96.7681545,9378 N Central Expy # 100,Dallas,TX,75231,2146962089,5,A
Best Buy0180,33.107749,-96.810088,3333 PRESTON RD #200,Frisco,TX,75034,9727123939,5,A
Best Buy0196,33.214807,-96.639599,1751 N Central Expy,McKinney,TX,75070,9725428305,5,A
Best Buy0202,33.035715,-96.704025,2800 N Central Expy,Plano,TX,75074,9725788000,5,A
Best Buy0205,32.8374247,-97.0057335,4017 W Airport Fwy,Irving,TX,75062,9722580001,5,A
Best Buy0256,32.926085,-96.837319,4255 Lyndon B Johnson Fwy,Farmers Branch,TX,75244,9722399980,5,A
Best Buy0258,32.999686,-96.962893,2601 S Stemmons Fwy,Lewisville,TX,75067,2144888624,5,A
Verizon Wireless00129,33.005459,-96.972206,2403 S Stemmons Fwy Ste 107,Lewisville,TX,75067,9724597111,5,A
Verizon Wireless00380,32.840336,-96.993382,2420 N Belt Line Rd Ste 150,Irving,TX,75062,9722554259,5,A
Best Buy1023,33.68366,-96.61138,823 N Creek Dr,Sherman,TX,75092,9038701837,5,B
Best Buy1032,32.92064,-96.972213,1900 Market Place Blvd,Irving,TX,75063,9729100330,5,B
Home Depot0518,33.682294,-96.612225,601 NORTHCREEK DR,SHERMAN,TX,75092,9038913396,5,B
Home Depot0527,33.091535,-96.823716,4600 Hwy 121,Plano,TX,75024,9723773613,5,B
Home Depot0528,33.214346,-96.640022,1515 N Central Expy,McKinney,TX,75070,9725699909,5,B
Home Depot0531,32.899249,-96.462091,765 E I-30,Rockwall,TX,75087,9727712825,5,B
Home Depot0539,33.015742,-96.70716,1224 N Central Expy,Plano,TX,75074,9724237011,5,B
Home Depot0550,32.848514,-96.684923,11255 Garland Rd,Dallas,TX,75218,2143281900,5,B
Home Depot0551,33.026243,-96.832521,6200 W Park Blvd,Plano,TX,75093,9727359333,5,B
Home Depot0553,32.936887,-96.631746,3261 N Pres George Bush Hwy,Garland,TX,75040,9725309961,5,B
Home Depot0556,32.93278,-96.680842,2140 JUPITER RD,Garland,TX,75046,9724965292,5,B
Home Depot0563,32.833868,-96.990522,3200 W Irving Blvd,Irving,TX,75061,9725132400,5,B
Home Depot0564,32.907067,-96.886612,11468 Grissom Ln,Dallas,TX,75229,9724847077,5,B
Home Depot0589,32.83235,-96.828346,6110 Lemmon Ave,Dallas,TX,75209,2146549939,5,B
Best Buy0149,39.427473,-76.620177,1717 York Rd,Timonium,MD,21093,4105612260,6,A
Best Buy0159,39.3730552,-76.454356,5200 Campell Blvd,Nottingham,MD,21236,4109313107,6,A
Best Buy0296,39.527985,-76.359595,602 Boulton St,Bel Air,MD,21014,4108936101,6,A
Best Buy0369,40.80757,-77.89274,1650 N Atherton St,State College,PA,16803,8142375610,6,B
Best Buy0547,40.307677,-76.805772,5000 Jonestown Rd,Harrisburg,PA,17112,7176510980,6,B
Best Buy1087,39.984971,-76.670966,2865 CONCORD RD,YORK,PA,17402,7178404530,6,B
Home Depot2502,39.359512,-76.446833,9955 Pulaski Hwy,Middle River,MD,21220,4107809200,6,B
Home Depot2503,39.272051,-76.731916,6000 Baltimore Nat'l Pike,Catonsville,MD,21228,4107199200,6,B
Home Depot2504,39.399268,-76.545368,1971 E Joppa Rd,Parkville,MD,21234,4108821900,6,B
Home Depot2505,39.286152,-76.538487,6315 Eastern Ave,Baltimore,MD,21224,4106314440,6,B
Home Depot2506,39.535941,-76.348293,655 MarketPl Dr,Bel Air,MD,21014,4106380929,6,B
Home Depot2507,39.408957,-76.767388,9818 Reisterstown Rd,Owings Mills,MD,21117,4103561037,6,B
Home Depot2510,39.523687,-76.180656,979 BEARDS HILL ROAD,ABERDEEN,MD,21001,4102978930,6,B
Home Depot2565,39.464591,-76.641362,125 Industry Ln,Cockeysville,MD,21030,4106678200,6,B
Home Depot2576,39.43897,-76.291995,2703 PULASKI HIGHWAY,EDGEWOOD,MD,21040,4106128114,6,B
