Location ID,Latitude,Longitude,cluster_label
Best Buy0000,41.05289000000001,-81.57937690000001,30
Best Buy0004,44.9706769,-93.4497706,15
Best Buy0007,45.016167,-93.167759,15
Best Buy0008,44.7474895,-93.2878894,15
Best Buy0010,45.035798,-93.025514,15
Best Buy0011,45.126108,-93.261699,15
Best Buy0012,45.553282,-94.209761,15
Best Buy0013,46.85945,-96.84599,84
Best Buy0014,44.065583,-92.500117,15
Best Buy0015,44.9498,-92.93752,15
Best Buy0016,41.59804000000001,-93.76123,45
Best Buy0017,43.51318,-96.75403,107
Best Buy0018,43.875917,-91.191481,78
Best Buy0020,42.025864,-91.623077,57
Best Buy0021,41.6914,-91.59787,57
Best Buy0022,41.571326,-90.526196,57
Best Buy0025,42.959639,-88.008134,118
Best Buy0026,43.063119,-88.04796400000002,118
Best Buy0027,44.275243,-88.47078,87
Best Buy0028,44.481507,-88.069338,87
Best Buy0029,42.700155,-87.855593,118
Best Buy0030,38.50959,-90.330421,38
Best Buy0031,38.597594,-89.986739,38
Best Buy0032,38.798608,-90.620302,38
Best Buy0034,38.75509,-90.430616,38
Best Buy0036,39.047835,-94.352408,28
Best Buy0039,38.960162,-94.723627,28
Best Buy0040,44.77376,-91.43231,155
Best Buy0043,46.807702,-92.169177,156
Best Buy0044,43.03598,-88.15460300000002,159
Best Buy0045,42.271331,-88.982715,118
Best Buy0046,40.14197,-88.257928,158
Best Buy0047,39.755519,-89.706407,154
Best Buy0048,39.041149,-95.76175,28
Best Buy0049,40.507666,-88.95136,157
Best Buy0050,40.812499,-96.625982,153
Best Buy0051,37.721018,-97.246213,72
Best Buy0052,37.150976,-93.260916,47
Best Buy0054,32.8022524,-96.6296543,4
Best Buy0055,32.827215100000004,-97.2030088,4
Best Buy0056,32.600840000000005,-96.935361,4
Best Buy0057,32.676979,-97.137755,4
Best Buy0058,32.8754464,-96.7681545,4
Best Buy0059,43.130976,-89.296745,118
Best Buy0101,33.590983,-117.672732,75
Best Buy0102,34.071261,-117.930864,75
Best Buy0103,33.997453,-117.922631,160
Best Buy0104,33.897409,-118.365546,39
Best Buy0105,34.10749000000001,-117.537874,75
Best Buy0106,34.597691999999995,-118.145468,39
Best Buy0107,33.805627,-118.34946399999998,39
Best Buy0108,34.4712869,-117.351024,1
Best Buy0109,34.035654,-118.439759,39
Best Buy0110,33.914286,-117.464887,75
Best Buy0111,33.74861,-118.014576,75
Best Buy0112,34.182322,-118.874492,39
Best Buy0113,34.428825,-118.537767,39
Best Buy0114,33.916473,-117.931743,75
Best Buy0115,33.557707,-117.19933600000002,150
Best Buy0116,34.188692,-118.600574,39
Best Buy0117,33.868898,-118.056004,75
Best Buy0118,34.223255,-119.157337,39
Best Buy0119,33.688465,-117.892933,75
Best Buy0120,38.419523,-122.7094271,93
Best Buy0121,36.846088,-119.78623,5
Best Buy0122,36.196463,-115.238928,52
Best Buy0123,32.28673,-110.9629,60
Best Buy0124,33.72673,-116.40418,1
Best Buy0125,34.151270000000004,-118.080128,75
Best Buy0126,33.87333,-117.736349,75
Best Buy0127,33.851291,-118.134068,75
Best Buy0128,39.474449,-119.788075,86
Best Buy0129,38.773228,-121.26063,21
Best Buy0130,34.277095,-118.568844,149
Best Buy0131,34.091468799999994,-117.6916046,75
Best Buy0133,38.598799,-121.421096,21
Best Buy0134,37.703891,-121.882479,93
Best Buy0135,37.934873,-122.059168,93
Best Buy0136,38.260781,-122.056134,93
Best Buy0137,34.18861,-118.327789,39
Best Buy0138,37.990481,-122.307358,93
Best Buy0140,37.502374,-122.244326,93
Best Buy0141,37.694757,-121.064952,21
Best Buy0142,37.427922,-121.923147,66
Best Buy0143,38.666339,-90.596857,38
Best Buy0144,37.600988,-122.063834,93
Best Buy0145,40.03306,-82.435498,85
Best Buy0146,39.023226,-77.422602,2
Best Buy0147,35.760712,-78.738484,46
Best Buy0148,32.928993,-97.095686,4
Best Buy0149,39.427473,-76.620177,106
Best Buy0150,34.066775,-117.267029,1
Best Buy0152,29.476153000000004,-98.611543,31
Best Buy0154,39.095857,-84.27132900000002,63
Best Buy0155,36.05436,-79.889353,46
Best Buy0156,40.072517,-83.136612,85
Best Buy0157,28.554585,-81.32868,90
Best Buy0158,36.064503,-80.308385,46
Best Buy0159,39.3730552,-76.454356,106
Best Buy0160,35.95355900000001,-78.99626500000002,46
Best Buy0161,39.013774,-84.635808,63
Best Buy0162,41.42038400000001,-81.736039,30
Best Buy0163,38.986196,-76.55530999999998,106
Best Buy0164,39.55741210000001,-104.8754021,10
Best Buy0165,35.200994,-89.79302,115
Best Buy0166,38.302773,-77.50482199999998,2
Best Buy0167,30.16953,-95.4584,25
Best Buy0168,41.657925,-81.366236,30
Best Buy0169,35.91781500000001,-84.085073,76
Best Buy0170,35.9699484,-86.80916640000002,120
Best Buy0172,36.3081309,-86.6828902,120
Best Buy0174,35.056096000000004,-78.972995,71
Best Buy0175,35.259148,-81.124866,110
Best Buy0176,32.6855947,-97.4091011,4
Best Buy0177,33.3197417,-111.975327,33
Best Buy0178,30.47039,-97.802,98
Best Buy0179,34.01579,-118.40713999999998,39
Best Buy0180,33.107749,-96.810088,4
Best Buy0181,29.568358,-98.328617,31
Best Buy0182,31.0849665,-97.7067343,98
Best Buy0183,34.12775,-118.265366,39
Best Buy0184,32.806289,-116.963152,48
Best Buy0187,37.769001,-122.412849,93
Best Buy0188,32.65125,-117.095244,48
Best Buy0190,37.256521,-121.877054,66
Best Buy0191,39.726824,-121.800456,82
Best Buy0192,34.917590999999994,-120.419454,114
Best Buy0195,33.868998,-98.536054,103
Best Buy0196,33.214807,-96.639599,4
Best Buy0197,40.092082,-75.40215400000002,35
Best Buy0198,32.22258,-110.86442,60
Best Buy0199,29.58874,-95.6377,25
Best Buy0200,40.83876,-73.31874,11
Best Buy0201,29.5209195,-98.4960298,31
Best Buy0202,33.035715,-96.704025,4
Best Buy0203,30.38823,-97.743511,98
Best Buy0204,30.236390000000004,-97.82098,98
Best Buy0205,32.8374247,-97.0057335,4
Best Buy0206,41.259761,-96.028986,64
Best Buy0207,40.748635,-89.640251,89
Best Buy0208,43.05552700000001,-89.510492,118
Best Buy0209,39.86655800000001,-105.053314,10
Best Buy0210,39.61933,-105.09219,10
Best Buy0211,39.68534,-104.94036,10
Best Buy0212,38.878049,-104.718395,10
Best Buy0213,29.688043,-95.533285,25
Best Buy0214,29.96697,-95.53783,25
Best Buy0215,29.921793,-95.4122,25
Best Buy0216,29.785126,-95.531812,25
Best Buy0217,39.697455,-104.827529,10
Best Buy0218,35.184059999999995,-101.93334,50
Best Buy0219,35.3927612,-97.5410919,103
Best Buy0220,35.52978,-97.565789,103
Best Buy0221,36.06091,-95.862809,47
Best Buy0222,34.79122,-92.22128,67
Best Buy0223,35.082142,-106.527515,26
Best Buy0225,40.530715,-105.075481,10
Best Buy0226,33.540254,-101.935483,50
Best Buy0227,37.976729,-87.476454,73
Best Buy0228,41.12059,-85.130033,40
Best Buy0229,39.905998,-86.069023,49
Best Buy0230,39.628244,-86.12021,49
Best Buy0232,39.774713,-85.992182,49
Best Buy0233,29.697607,-95.298365,25
Best Buy0235,27.71435,-97.38685,59
Best Buy0236,26.19326,-98.20614,59
Best Buy0237,31.772256800000005,-106.3742629,55
Best Buy0238,30.12511,-94.155759,25
Best Buy0239,29.7366575,-95.6441676,25
Best Buy0240,41.26142,-96.180283,64
Best Buy0241,27.57233,-99.500886,59
Best Buy0242,29.543612,-95.139917,25
Best Buy0243,41.687094,-83.62024,111
Best Buy0244,31.499654,-97.150163,98
Best Buy0245,44.727961,-93.217594,15
Best Buy0246,32.289145,-95.303181,81
Best Buy0247,41.615363,-83.69657,111
Best Buy0248,35.33884000000001,-94.387395,47
Best Buy0249,33.609864,-112.118143,33
Best Buy0250,33.600441100000005,-111.977816,33
Best Buy0251,33.639874,-112.232889,33
Best Buy0253,33.50745,-112.04013,33
Best Buy0254,33.392022999999995,-111.694793,33
Best Buy0255,30.010994,-95.262454,25
Best Buy0256,32.926085,-96.837319,4
Best Buy0257,41.024274,-80.64351500000002,30
Best Buy0258,32.999686,-96.962893,4
Best Buy0259,37.993203,-84.521041,63
Best Buy0261,35.127355,-80.704899,110
Best Buy0262,35.089071999999994,-80.87862700000002,110
Best Buy0263,39.184473,-76.793865,106
Best Buy0264,34.076032,-81.153002,92
Best Buy0265,39.084777,-76.862002,2
Best Buy0266,39.773417,-84.049412,63
Best Buy0268,35.37172750000001,-80.7192271,110
Best Buy0269,38.774412,-77.169664,2
Best Buy0271,41.522419,-81.446907,30
Best Buy0272,34.82943,-82.299583,34
Best Buy0273,38.857149,-77.396051,2
Best Buy0274,39.64138300000001,-84.228844,63
Best Buy0275,34.74967,-92.40596,67
Best Buy0276,38.861559,-77.05819699999998,2
Best Buy0277,38.91733,-94.667599,28
Best Buy0278,41.119154,-81.478576,30
Best Buy0279,41.414572,-81.911558,30
Best Buy0280,32.0343,-102.117,121
Best Buy0281,44.862391,-93.292608,15
Best Buy0283,38.850454,-77.130997,2
Best Buy0285,41.13267800000001,-81.649787,30
Best Buy0286,40.876842,-81.43476,30
Best Buy0287,38.65138870000001,-77.2954344,2
Best Buy0288,39.114213,-77.186139,2
Best Buy0289,36.119793,-115.136155,52
Best Buy0290,39.191952,-76.6137191,106
Best Buy0291,29.73076,-95.46234,25
Best Buy0292,39.935871,-82.78439300000002,85
Best Buy0293,39.06973,-77.130728,2
Best Buy0294,34.933677,-81.99149399999997,34
Best Buy0295,40.060259,-82.91751,85
Best Buy0296,39.527985,-76.359595,106
Best Buy0297,38.961627,-77.35680500000002,2
Best Buy0298,38.94280300000001,-104.799781,10
Best Buy0299,35.84087299999999,-78.681174,46
Best Buy0300,41.27971,-72.98844,79
Best Buy0301,41.836101,-88.019385,3
Best Buy0302,42.034114,-87.759112,3
Best Buy0303,42.107698,-87.974919,3
Best Buy0304,41.939031,-88.106371,3
Best Buy0305,42.051655,-88.056781,3
Best Buy0306,41.656086,-87.743374,3
Best Buy0307,41.580426,-88.165324,3
Best Buy0308,41.602961,-87.85301,3
Best Buy0309,41.48281400000001,-87.332814,3
Best Buy0310,41.763934000000006,-88.206342,3
Best Buy0311,41.755993,-87.74268000000002,3
Best Buy0313,42.019211,-87.70578499999998,3
Best Buy0315,42.22889,-88.31489300000001,3
Best Buy0316,41.752329,-88.010452,3
Best Buy0318,42.238925,-87.943777,3
Best Buy0319,41.954097,-87.807282,3
Best Buy0320,41.848268,-87.803727,3
Best Buy0322,41.907188700000006,-87.85015990000002,3
Best Buy0323,41.911106,-87.65344300000002,3
Best Buy0324,41.783155,-87.868512,3
Best Buy0325,41.71771,-86.187715,40
Best Buy0327,40.394558,-86.853195,49
Best Buy0329,45.0941164,-93.4449432,15
Best Buy0330,44.170369,-93.949729,15
Best Buy0331,41.418425,-73.417458,11
Best Buy0332,30.625009,-96.331395,25
Verizon Wireless00001,33.668407,-117.768806,75
Verizon Wireless00129,33.005459,-96.972206,4
Verizon Wireless00136,32.68207,-97.413907,4
Verizon Wireless00152,33.6082909,-85.7854651,123
Verizon Wireless00163,35.974205,-85.03920699999998,76
Verizon Wireless00174,34.301614,-86.277018,123
Verizon Wireless00176,33.419327,-86.673753,80
Verizon Wireless00177,26.7066881,-80.0933629,124
Verizon Wireless00189,33.37686,-86.80494,80
Verizon Wireless00229,27.292348,-82.530573,113
Verizon Wireless00236,30.190929,-81.627403,62
Verizon Wireless00241,28.453672,-81.4002,90
Verizon Wireless00244,30.187304,-81.736664,62
Verizon Wireless00265,35.758872,-78.742177,46
Verizon Wireless00269,34.075452,-81.156796,92
Verizon Wireless00272,34.82463,-82.55597900000002,34
Verizon Wireless00280,34.849716,-82.328339,34
Verizon Wireless00285,35.44222,-80.863621,110
Verizon Wireless00287,36.10271,-79.81911,46
Verizon Wireless00293,32.828487,-79.83295600000002,22
Verizon Wireless00295,33.525269,-80.88802199999998,92
Verizon Wireless00297,29.960625,-95.548477,25
Verizon Wireless00304,30.126755,-95.449011,25
Verizon Wireless00308,35.330101,-81.886177,34
Verizon Wireless00311,35.272518,-81.502319,110
Verizon Wireless00318,34.062519,-80.96038100000001,92
Verizon Wireless00321,29.878784000000003,-95.646782,25
Verizon Wireless00332,25.751833,-80.258453,36
Verizon Wireless00334,26.211733,-81.771967,51
Verizon Wireless00338,26.037933,-80.162384,36
Verizon Wireless00348,27.179906,-80.23892099999998,124
Verizon Wireless00360,28.655884000000004,-81.238007,90
Verizon Wireless00380,32.840336,-96.993382,4
Verizon Wireless00398,26.184484,-98.232712,59
Verizon Wireless00406,30.48138,-97.65892,98
Verizon Wireless00407,29.881975,-97.919432,31
Verizon Wireless00428,29.728694,-95.436931,25
Verizon Wireless00432,34.067089,-83.988327,112
Verizon Wireless00437,34.299721000000005,-83.857336,112
Verizon Wireless00478,33.596655,-86.64534,80
Verizon Wireless00480,39.829285,-75.09850300000002,35
Verizon Wireless00481,39.814221,-75.54956800000002,35
Verizon Wireless00482,39.185547,-75.535189,35
