Chain,Location Number,Location ID,Address,City,State/ Province,Postal Code,Latitude,Longitude,Phone,Tier
Best Buy,0539,Best Buy0539,800 E DIMOND Blvd,Anchorage,AK,99515,61.1444200,-149.8671100,9073444409,B
Home Depot,1301,Home Depot1301,515 E Tudor Rd,Anchorage,AK,99503,61.1826760,-149.8736510,9075639800,B
Home Depot,1302,Home Depot1302,400 RODEO PLACE,ANCHORAGE,AK,99508,61.2181290,-149.8138530,9072762006,B
Home Depot,1303,Home Depot1303,601 JOHANSEN EXPRESSWAY,FAIRBANKS,AK,99701,64.8576120,-147.6829020,9074519003,B
Home Depot,1304,Home Depot1304,1255 PALMER WASILLA HWY,WASILLA,AK,99654,61.5800320,-149.4009730,9073578181,B
Best Buy,1760,Best Buy1760,1200 N Muldoon RD,North Ancorage,AK,99504,61.2255820,-149.7460990,9076775099,C
Go Wireless,0776,Go Wireless0776,"9105 Mendenhall Mall Rd., Suite 150",Juneau,AK,99801,58.3718060,-134.5849430,,C
Go Wireless,0777,Go Wireless0777,1800 Airport Way,Fairbanks,AK,99701,64.8374200,-147.7563100,,C
Go Wireless,1252,Go Wireless1252,"110 W. Tudor Road, Suite A",Anchorage,AK,99503,61.1803000,-149.8838900,,C
Go Wireless,1253,Go Wireless1253,"135 W. Dimond Blvd., Suite 100",Anchorage,AK,99515,61.1448300,-149.8822190,,C
Go Wireless,1254,Go Wireless1254,"1731 E. Palmer Wasilla Hwy., Suite 400",Wasilla,AK,99654,61.5778800,-149.4091200,,C
Home Depot,8938,Home Depot8938,10480 SPUR HIGHWAY,KENAI,AK,99611,60.5620220,-151.2356560,9072832228,C
Home Depot,8939,Home Depot8939,5201 Commercial Blvd,Juneau,AK,99801,58.3593000,-134.4800000,9074635034,C
Home Depot,8940,Home Depot8940,1715 ABBOTT ROAD,ANCHORAGE,AK,99507,61.1438270,-149.8442190,9076445646,C
Target,2339,Target2339,1801 E Parks Hwy,Wasilla,AK,99654,61.5794320,-149.4972840,9076317200,C
Target,2371,Target2371,1200 N Muldoon Rd,Anchorage NE,AK,99504,61.2311810,-149.7414580,9072692100,C
Target,2372,Target2372,150 W 100th Ave,Anchorage,AK,99515,61.1284800,-149.8822150,9072677500,C
Verizon Wireless,35511,Verizon Wireless35511,1136 N Muldoon Rd Suite C,Anchorage,AK,99504,61.2286350,-149.7411570,9073333076,C
Verizon Wireless,35519,Verizon Wireless35519,427 Merhar Ave Suite 100,Fairbanks,AK,99701,64.8576000,-147.6966700,9074790038,C
Wal-Mart,2070,Wal-Mart2070,3101   A   ST,Anchorage,AK,99503,61.1923910,-149.8805960,9075635900,C
Wal-Mart,2071,Wal-Mart2071,8900 OLD SEWARD Hwy,Anchorage,AK,99515,61.1402480,-149.8683070,9073445300,C
Wal-Mart,2074,Wal-Mart2074,1350 S SEWARD MERIDIAN PKWY,Wasilla,AK,99654,61.5687710,-149.3610170,9073769780,C
Wal-Mart,2188,Wal-Mart2188,18600 EAGLE RIVER RD,Eagle River,AK,99577,61.3094640,-149.5349170,9076949780,C
Wal-Mart,2710,Wal-Mart2710,4230 DON KING RD,Ketchikan,AK,99901,55.3422220,-131.6461110,9072472156,C
Wal-Mart,2711,Wal-Mart2711,2911 MILL BAY RD,Kodiak,AK,99615,57.8109120,-152.3631550,9074811670,C
Wal-Mart,2722,Wal-Mart2722,537 JOHANSEN EXPRESSWAY,Fairbanks,AK,99701,64.8569490,-147.6893260,9074519900,C
Wal-Mart,3814,Wal-Mart3814,6525 Glacier Hwy,JUNEAU,AK,99801,58.3583488,-134.5148621,9077895000,C
Wal-Mart,4359,Wal-Mart4359,7405 DEBARR RD,ANCHORAGE,AK,99504,61.2107580,-149.7430110,9073399039,C
Wal-Mart,4474,Wal-Mart4474,Kenai Spur & Marathon Rd,Kenai,AK,99611,60.6183180,-151.1320150,9073950971,C
Regional,0289,Regional0289,333 EAST TUDOR ROAD,ANCHORAGE,AK,99503,61.1818250,-149.8780560,,C
Regional,1633,Regional1633,10900 OLD SEWARD HIGHWAY,ANCHORAGE,AK,99515,61.1220050,-149.8639280,,C
Regional,1985,Regional1985,425 MERHAR AVENUE,FAIRBANKS,AK,99701,64.8577720,-147.6975960,,C
Regional,2512,Regional2512,2561 EAST SUN MOUNTAIN AVE,WASILLA,AK,99654,61.5722460,-149.3842110,,C
Regional,2955,Regional2955,1200 N MULDOON,ANCHORAGE,AK,99504,61.2311810,-149.7414580,9072692400,C
Verizon Wireless,00152,Verizon Wireless00152,101 Oxford Exchange Blvd,Oxford,AL,36203,33.6082909,-85.7854651,2568310225,A
Verizon Wireless,00174,Verizon Wireless00174,11476 Us Highway 431,Guntersville,AL,35976,34.3016140,-86.2770180,2568943063,A
Verizon Wireless,00176,Verizon Wireless00176,5363 Highway 280,Birmingham,AL,35242,33.4193270,-86.6737530,2059919229,A
Verizon Wireless,00189,Verizon Wireless00189,3080 John Hawkins Pkwy,Birmingham,AL,35244,33.3768600,-86.8049400,2054023974,A
Verizon Wireless,00478,Verizon Wireless00478,1420 Gadsden Hwy Ste 100,Birmingham,AL,35235,33.5966550,-86.6453400,2056613325,A
A Wireless,0001,A Wireless0001,1015 River Falls St,Andalusia,AL,36420,31.3169800,-86.4982830,3344034023,B
A Wireless,0002,A Wireless0002,5 Bill Robison Parkway,Anniston,AL,36206,33.7217370,-85.8174060,2568205955,B
A Wireless,0003,A Wireless0003,1522 N Brindlee Mountain Pkwy,Arab,AL,35016,34.3433190,-86.5036010,2565861515,B
A Wireless,0004,A Wireless0004,22041 US Highway 72,Athens,AL,35613,34.7812970,-86.9291660,2562620847,B
A Wireless,0005,A Wireless0005,1499 S College St,Auburn,AL,36830,32.5793410,-85.4960250,3348210700,B
A Wireless,0006,A Wireless0006,2198 US Highway 431,Boaz,AL,35957,34.2173000,-86.1575240,2568400065,B
A Wireless,0007,A Wireless0007,1935 W Main St,Centre,AL,35960,34.1608200,-85.7141650,2569277442,B
A Wireless,0008,A Wireless0008,1441 7th St S,Clanton,AL,35045,32.8182460,-86.6078260,2052803691,B
A Wireless,0009,A Wireless0009,27900 Main St,Daphne,AL,36526,30.6313350,-87.9105270,2516250033,B
A Wireless,0010,A Wireless0010,1325 US Highway 80 W,Demopolis,AL,36732,32.4957220,-87.8508770,3343414008,B
A Wireless,0011,A Wireless0011,669 S McKenzie St,Foley,AL,36535,30.4002090,-87.6827540,2519436190,B
A Wireless,0012,A Wireless0012,3800 Gulf Shores Parkway,Gulf Shores,AL,36542,30.3011740,-87.6809160,2512790065,B
A Wireless,0013,A Wireless0013,1106 Highway 31 NW,Hartselle,AL,35640,34.4530720,-86.9460910,2567731810,B
